Hour,Minute,Traffic,Sources,UDP,TCP
0,0,1800021,85363,140022,1560571
0,1,1714788,85741,142050,1485004
0,2,1644222,86883,142785,1413333
0,3,1656078,87129,144089,1419858
0,4,1665697,87393,144681,1427423
0,5,1640649,88160,142466,1404906
0,6,1636589,87704,144089,1401068
0,7,1646432,88443,147145,1412399
0,8,1642309,88417,143410,1411285
0,9,1618432,86702,139779,1391178
0,10,1613789,87895,142317,1384655
0,11,1721171,87785,141997,1489254
0,12,1687569,87489,139564,1466602
0,13,1845941,88060,143669,1632450
0,14,1580817,88489,141992,1371286
0,15,1677863,87908,142829,1459996
0,16,1693767,88258,144358,1465872
0,17,1669267,88668,141177,1448185
0,18,1694166,88385,142040,1476278
0,19,1700571,88634,143220,1473141
0,20,1603602,88411,143682,1376972
0,21,1560297,88429,142171,1337031
0,22,1578864,89053,152061,1330926
0,23,1595528,88947,145331,1365173
0,24,1544049,89007,146236,1324253
0,25,1559031,90039,146583,1340168
0,26,1576967,88913,146585,1357790
0,27,1690597,89343,148249,1467840
0,28,1682620,90707,148391,1450107
0,29,1701409,91200,152109,1457097
0,30,1704593,89633,146916,1462174
0,31,1761905,89930,147059,1526990
0,32,1862800,90083,152595,1628200
0,33,1850221,89918,150412,1623446
0,34,1787660,89990,148127,1564800
0,35,1729347,90040,143065,1512247
0,36,1630446,90672,144281,1408330
0,37,1624131,90122,143572,1398763
0,38,1630739,89981,141844,1401793
0,39,1638994,89609,143504,1412512
0,40,1607698,88687,141712,1386837
0,41,1617568,87723,140602,1396080
0,42,1642258,88340,139976,1413304
0,43,1644611,88685,139930,1414630
0,44,1632386,88217,138696,1394687
0,45,1616619,87601,137330,1381150
0,46,1640087,87063,136176,1392088
0,47,1663952,86917,135094,1423503
0,48,1685321,86777,139564,1440390
0,49,1696218,86763,136952,1450963
0,50,1712330,87306,137183,1472947
0,51,1675511,87445,138771,1444920
0,52,1675360,86335,135911,1450758
0,53,1752533,87306,137997,1525519
0,54,3186097,87560,139647,2963559
0,55,2891744,88597,142536,2667661
0,56,3210635,87718,140244,2992478
0,57,3421914,88634,139875,3204268
0,58,3413773,89333,138961,3195350
0,59,3103686,90494,145604,2875271
1,0,3024033,90489,149882,2788067
1,1,3081094,89914,149417,2849828
1,2,3030132,90607,148719,2799395
1,3,3225211,90800,149665,2989436
