Hour,Minute,Traffic,Sources,UDP,TCP
2,37,1048106,96401,126736,821974
2,38,1010541,96424,126608,783240
2,39,1015497,96693,125314,789688
2,40,1020501,96150,127387,793290
2,41,1059336,95661,124153,836309
2,42,1037576,96847,126266,810951
2,43,978968,97350,130530,752833
2,44,986400,97266,126945,764933
2,45,972005,97387,127374,750505
2,46,967516,98569,129743,743392
2,47,965919,98029,127803,743659
2,48,1017308,97834,128168,794249
2,49,1030333,99096,132644,802576
2,50,1039964,99252,135539,808119
2,51,1032380,98928,134103,802192
2,52,1043896,98326,132531,813298
2,53,1050043,99030,138987,815386
2,54,1038286,97999,132781,810233
2,55,1074701,98296,132381,845850
2,56,1074174,98549,130537,845920
2,57,1007175,98516,132770,775640
2,58,985668,99436,135881,758807
2,59,1029560,99325,129388,809033
3,0,1072842,99454,131450,850988
3,1,1033950,98889,136841,808950
3,2,1035552,98851,137383,808792
3,3,1028926,99843,143073,797546
3,4,1034045,100782,144080,801045
3,5,1020122,100923,140668,789376
3,6,1029442,101218,146319,792912
3,7,1053099,101158,150218,812039
3,8,1109693,101261,149333,870129
3,9,1054803,101811,149912,813791
3,10,1040827,101889,151672,798934
3,11,1037836,101424,149839,799431
3,12,1042007,101917,149530,800895
3,13,1024693,101384,146329,788784
3,14,1099517,101498,147608,862822
3,15,1092673,102423,150310,852671
3,16,1083983,102344,151637,841648
3,17,1055137,101991,148526,816163
3,18,1047444,100775,144447,814339
3,19,1075771,101363,144799,841160
3,20,1038323,101360,144639,804470
3,21,1026997,100854,146800,790550
3,22,1029991,100339,142050,795960
3,23,1022771,98830,134146,798728
3,24,1026346,99226,135155,800664
3,25,1050979,98546,134239,826322
3,26,1011776,98982,131162,790077
3,27,996022,98576,127918,777818
3,28,968264,98134,131445,746405
3,29,988286,98346,131716,767034
3,30,1051157,98390,135146,825298
3,31,1048385,99029,133514,822725
3,32,1057715,98695,138190,824279
3,33,1102040,99407,142599,864863
3,34,1100344,99225,138719,873011
3,35,1118165,99167,133569,921481
3,36,1102297,99100,131480,908737
3,37,1127023,99295,128989,937773
3,38,1096881,100867,137719,898059
3,39,1098180,100563,137485,900610
3,40,1140141,100246,133476,945275
3,41,1117885,99900,135216,922276
3,42,1009634,99610,135993,811574
3,43,1018708,101182,139004,818137
3,44,966291,100977,139766,766583
3,45,965940,100196,138602,767079
3,46,963301,100198,136888,766751
3,47,965408,100587,139342,765861
3,48,964386,100952,138376,759635
3,49,951690,99535,135767,739703
3,50,968806,99693,135095,758167
3,51,1001536,100857,136149,787204
3,52,963038,101763,139006,746905
3,53,980921,101411,141486,751868
3,54,1082573,102016,142894,851273
3,55,971743,100918,140153,743752
3,56,982090,101293,143581,761788
3,57,997387,100607,139499,781604
3,58,1011805,100277,140684,785230
3,59,1009711,100659,136931,780345
4,0,959185,99157,135641,736368
4,1,967501,98372,135336,735690
4,2,989105,98498,134836,766136
4,3,1092523,97653,128189,886836
4,4,994039,97794,132078,778898
4,5,968122,98205,130420,755043
4,6,978919,97991,133292,748601
4,7,1000369,98624,138823,777138
4,8,1039524,98816,141368,814464
4,9,967944,97510,136674,753813
4,10,963397,97083,135924,749391
4,11,977444,98166,133275,765581
4,12,985157,98352,129785,776036
4,13,1002896,97791,130437,791082
4,14,1019009,96633,126594,806474
4,15,1042031,95827,124887,826350
4,16,1021827,96843,133508,809723
4,17,992285,97523,140003,773462
4,18,993761,97854,125477,789986
4,19,989989,98199,121866,790744
4,20,992330,98707,125360,789058
4,21,987961,96551,121758,789405
4,22,982142,94729,111443,793767
4,23,1080478,95529,119284,884839
4,24,952391,96642,129030,745662
4,25,1067977,97408,129909,859939
4,26,968527,97949,129417,760392
4,27,967407,98107,133648,752975
4,28,953979,97636,127910,746631
4,29,938292,98215,131887,726393
4,30,932658,97623,130829,723269
4,31,923209,97141,128232,716405
4,32,963446,97939,129221,755257
4,33,1125984,97727,130216,917535
4,34,1122844,97277,128272,914858
4,35,1135246,97062,125728,929753
4,36,1089619,97468,128324,881377
4,37,1071911,97431,128027,860599
4,38,1096393,97919,130647,876751
4,39,1099711,97799,126800,894152
4,40,1149900,98143,126035,943634
4,41,1148876,97944,127788,941260
4,42,1083441,96825,127061,875710
4,43,1096036,97637,130232,884563
4,44,1102680,98319,129161,893950
4,45,1166717,98935,130286,956710
4,46,1236927,98911,129764,1027552
4,47,1236468,98371,127882,1028435
4,48,1152011,98898,131679,940535
4,49,1127002,99807,130287,916252
4,50,1157141,99830,130426,946025
4,51,1194395,100190,129664,983952
4,52,1185539,99939,129985,973710
4,53,1161812,100425,137527,943420
4,54,1155233,101098,139661,932485
4,55,1150577,100968,146475,912400
4,56,1095119,100457,138955,856869
4,57,1098854,101453,134654,869065
4,58,1120685,100668,146768,877086
4,59,1095368,101949,151397,848334
5,0,1093948,101679,151548,849229
5,1,1224460,100595,145185,995001
5,2,1353055,100489,145139,1123080
5,3,1503310,100804,142151,1276227
5,4,1367823,100586,138394,1145974
5,5,1371069,100998,141898,1144681
5,6,1351537,101031,144401,1122261
5,7,1521269,101534,142976,1293271
5,8,1277473,102134,141477,1052041
5,9,1258761,101219,139581,1035176
5,10,1269254,100373,139258,1050147
5,11,1286481,100023,138877,1066464
5,12,1230158,100725,142886,1006060
5,13,1230711,101174,140623,1006670
5,14,1274056,101110,125480,1057398
5,15,1246920,101568,129162,1023591
5,16,1249286,101579,128457,1026218
5,17,1268806,101100,127335,1046601
5,18,1240395,101562,130092,1020262
5,19,1239248,102662,129281,1014740
5,20,1184494,101788,131538,958076
5,21,1280262,102318,130914,1054195
5,22,1273068,102520,130206,1046526
5,23,1275059,102545,129447,1048858
5,24,1277671,103547,133141,1047905
5,25,1266791,103407,134509,1035486
5,26,1281805,104365,135866,1049021
5,27,1307744,104552,136526,1074124
5,28,1270894,104800,136130,1019029
5,29,1274167,105206,132297,1034070
5,30,1272680,104007,133900,1042737
5,31,1254329,105198,134115,1023503
5,32,1287821,104429,135024,1056424
5,33,1354077,104486,138781,1116562
5,34,1363100,104626,135674,1125274
5,35,1435091,103872,134844,1192117
5,36,1431484,103775,132584,1181667
5,37,1396758,103712,135002,1120996
5,38,1386250,103251,131955,1113162
5,39,1392909,104030,130127,1122483
5,40,1363950,104471,132680,1086363
5,41,1377102,102701,125133,1110903
5,42,1384784,102683,123735,1114648
5,43,1188302,102391,121353,919114
5,44,1110766,101622,121992,882400
5,45,1054124,102330,122391,836721
5,46,1053533,102352,122805,833700
5,47,1064960,103503,120766,848426
5,48,1102020,103383,122374,882372
5,49,1189590,102995,121801,970360
5,50,1128569,102633,121918,909599
5,51,1172799,102227,119830,956819
5,52,1124308,102719,120739,906081
5,53,1099989,102862,119503,882522
5,54,1201073,103361,120789,986591
5,55,1147508,103051,117492,937020
5,56,1073245,102860,118489,861906
5,57,1064911,103400,120039,858693
5,58,1112214,103378,117796,909670
5,59,1094359,103304,120716,888731
6,0,1075811,102970,119464,872354
6,1,1044385,103313,118320,842227
6,2,1035293,103048,119993,831981
6,3,1060722,103764,119201,857157
6,4,1096042,104201,120708,891632
6,5,1027290,104975,121436,820213
6,6,1013970,105767,121681,807170
6,7,988511,104583,119297,784471
6,8,956158,105406,118899,770279
6,9,1053335,105418,122145,862917
6,10,1012946,105312,120242,824107
6,11,997442,106362,122223,808064
6,12,1021773,105448,120868,832456
6,13,1029883,105340,121134,840902
6,14,1027405,105917,127834,831910
6,15,1032857,106118,129901,834889
6,16,997429,105946,122260,806848
6,17,1029092,106194,123278,837028
6,18,981780,105552,119885,793348
6,19,972070,105719,120772,783597
6,20,969539,106035,119021,782401
6,21,1018739,106359,119977,830026
6,22,977851,106061,118430,790830
6,23,981654,106049,119398,794397
6,24,1000040,106813,121297,811158
6,25,1033655,107656,121408,834501
6,26,1076523,107550,119644,870815
6,27,1093694,107267,119060,887849
6,28,1181513,107321,119687,976403
6,29,1005249,107434,120612,799955
6,30,998203,107904,121280,790750
6,31,1054631,108309,121494,849112
6,32,1018766,108114,121683,827976
6,33,981883,108276,123735,789831
6,34,991071,108612,119085,805098
6,35,987045,109526,122978,794162
6,36,988991,109532,122271,789957
6,37,997744,108774,122030,798438
6,38,1138579,108928,120537,940305
6,39,1014457,109438,121769,814887
6,40,1060470,109639,121178,861008
6,41,1048908,109567,125695,844945
6,42,993179,110434,121696,792606
6,43,1015503,109929,123441,814796
6,44,1018282,111112,124946,815497
6,45,1097570,111827,124316,900281
6,46,1128169,112274,126112,932678
6,47,1083696,112150,124651,890289
6,48,1144690,113834,125986,950782
6,49,1078843,112863,123704,886333
6,50,1112459,113429,124979,914178
6,51,1128949,113147,126554,928510
6,52,1088230,112702,135199,880000
6,53,1068038,113312,129877,865692
6,54,1056759,114160,132692,852411
6,55,1251303,114428,138152,1037644
6,56,1271447,112680,130221,1066020
6,57,1329151,113270,137193,1115486
6,58,1269484,113172,140691,1050005
6,59,1256665,112662,133829,1041054
7,0,1282539,112853,131560,1065446
7,1,1251570,113950,140798,1024608
7,2,1306238,114262,133696,1087248
7,3,1237783,113609,142462,1004276
7,4,1252009,113954,143094,1014144
7,5,1228822,114454,136409,1013770
7,6,1226446,114539,130656,1020380
7,7,1205050,114925,131443,999069
7,8,1234966,114805,129957,1028827
7,9,1282627,114872,127569,1082165
7,10,1265344,115231,128671,1063316
7,11,1237724,115350,128961,1038099
7,12,1232599,114620,128521,1035175
7,13,1211366,115703,131362,1010846
7,14,1213715,115269,130947,1015132
7,15,1211583,115697,127981,1014006
7,16,1190109,115226,129923,991390
7,17,1204436,116725,141671,993094
7,18,1216046,116181,140588,1007356
7,19,1197850,116750,131799,997114
7,20,1203100,117541,132225,1001685
7,21,1186573,117770,131830,986560
7,22,1212921,116800,128513,1015587
7,23,1232884,117203,131198,1032407
7,24,1231947,118280,132686,1022977
7,25,1297508,117619,132269,1090874
7,26,1310541,117891,133432,1098262
7,27,1264265,117742,131459,1055026
7,28,1451515,118445,133860,1239851
7,29,1334729,118715,135783,1119611
7,30,1279214,118240,133257,1067058
7,31,1265742,117904,132273,1051139
7,32,1265229,117531,135340,1054477
7,33,1287557,117868,134694,1082725
7,34,1292923,117981,133665,1089359
7,35,1325883,117942,136021,1119445
7,36,1324492,117884,138946,1113991
7,37,1305178,119965,145734,1087563
7,38,1286284,120483,151919,1063122
7,39,1308280,121184,147623,1090340
7,40,1345122,121088,148798,1124966
7,41,1312034,120933,146632,1095209
7,42,1346591,120290,146982,1128887
7,43,1329273,120533,147340,1112175
7,44,1370408,120354,145153,1154992
7,45,1462989,120529,145093,1246965
7,46,1385172,121956,148295,1165491
7,47,1378159,122016,149930,1153384
7,48,1365264,121643,147774,1137653
7,49,1379440,120727,147968,1151649
7,50,1391727,120500,148462,1163080
7,51,1408599,121013,149681,1177739
7,52,1380460,121778,147916,1150437
7,53,1385654,122147,147503,1155729
7,54,1409414,121838,145994,1188517
7,55,1391132,121811,146297,1173114
7,56,1303559,121731,143904,1078157
7,57,1368039,121711,145223,1096118
7,58,1381819,122024,145443,1165196
7,59,1639123,122693,143222,1425780
8,0,1583885,122690,143624,1369457
8,1,1530750,122899,143043,1314584
8,2,1527870,122811,141382,1316713
8,3,1238809,122794,142406,1025850
8,4,1211868,122546,138922,1002832
8,5,1217447,122477,142409,1004765
8,6,1233562,122519,139011,1023928
8,7,1238828,123048,144832,1023032
8,8,1241176,122296,141618,1028144
8,9,1248126,121714,137566,1039218
8,10,1241294,122039,136703,1034271
8,11,1262076,122112,137787,1053435
8,12,1288675,121653,135626,1082881
8,13,1295427,121513,139227,1083514
8,14,1260871,121140,137160,1052440
8,15,1236069,120912,134820,1030437
8,16,1243467,120476,136843,1035481
8,17,1298118,121392,134198,1092508
8,18,1298972,121470,135565,1093296
8,19,1257357,122493,136195,1051137
8,20,1252891,123231,137478,1044883
8,21,1295338,123280,145053,1079490
8,22,1291877,123363,151428,1070215
8,23,1258922,123236,138918,1049329
8,24,1290288,123578,137541,1081619
8,25,1322901,123718,137867,1114774
8,26,1331586,123965,136578,1124293
8,27,1351132,123549,134998,1146313
8,28,1373464,122608,135769,1167520
8,29,1350689,123321,134146,1146398
8,30,1305335,124341,133765,1102488
8,31,1585119,124039,133439,1382355
8,32,1298980,124437,136286,1092164
8,33,1241539,124378,136219,1035347
8,34,1243870,125161,132967,1040263
8,35,1239096,125850,137416,1031567
8,36,1260155,125442,136649,1052985
8,37,1269135,126197,137275,1061093
8,38,1254096,125804,135119,1049512
8,39,1227375,125662,136901,1019535
8,40,1237560,125991,138490,1028431
8,41,1239520,126887,137915,1030090
8,42,1276430,125457,136605,1067648
8,43,1291290,126058,139881,1080109
8,44,1326546,125899,136672,1119932
8,45,1257168,126140,138148,1047988
8,46,1282545,125589,136879,1075236
8,47,1300107,126190,142789,1085648
8,48,1296332,125866,141918,1083823
8,49,1298005,126223,141407,1085272
8,50,1256098,126474,137969,1046527
8,51,1262091,126400,136448,1054935
8,52,1241524,125722,137645,1032015
8,53,1262080,126142,136880,1052321
8,54,1300809,126306,136723,1093160
8,55,1256355,126072,136694,1048230
8,56,1297626,125931,136806,1089254
8,57,1290794,125438,134505,1084867
8,58,1256929,126393,137336,1048609
8,59,1268365,127387,138894,1058618
9,0,1254003,126290,135791,1045887
9,1,1269611,126511,135027,1063036
9,2,1312213,127199,140143,1100908
9,3,1374774,127720,175489,1129409
9,4,1353397,127140,172577,1110548
9,5,1296726,126834,174561,1051301
9,6,1328676,126743,176732,1082214
9,7,1405324,126733,172178,1161360
9,8,1402188,128059,172589,1158606
9,9,1358868,128042,174077,1115453
9,10,1339032,127765,171326,1096912
9,11,1416811,128035,169979,1176532
9,12,1418985,127373,169621,1178262
9,13,1422924,127363,171415,1181201
9,14,1477044,127480,169500,1233629
9,15,1520632,127758,197179,1249599
9,16,1564114,127985,224222,1265112
9,17,1673457,128753,235630,1362756
9,18,1595015,128352,219696,1300566
9,19,1570552,129055,231081,1265406
9,20,1560195,129436,223714,1264212
9,21,1559620,129358,231391,1259633
9,22,1561219,129175,234443,1257761
9,23,1525538,129702,230705,1224971
9,24,1505979,130043,238336,1197077
9,25,1551958,131390,240470,1235624
9,26,1513747,131436,232676,1198326
9,27,1501484,131051,233030,1182793
9,28,1517779,130868,242961,1200954
9,29,1533058,131645,237744,1225583
9,30,2529922,131227,236892,2223517
9,31,2594540,131332,237373,2288422
9,32,2478767,131256,236084,2173654
