Hour,Minute,Traffic,Sources,UDP,TCP
2,40,1061019,98366,127310,883277
2,41,1138747,98658,105431,983177
2,42,1219911,98307,83190,1085847
2,43,1164646,98613,85175,1030227
2,44,1122955,98896,120936,951591
2,45,1044922,98659,85005,908655
2,46,1068034,97723,84564,931863
2,47,1130344,98167,85028,995352
2,48,1207299,97840,84240,1074702
2,49,1476437,98223,84983,1342028
2,50,1610143,97441,115352,1447344
2,51,1464039,96794,84612,1333117
2,52,1479873,96938,99050,1335947
2,53,1197015,96939,101110,1049584
2,54,1105315,96410,100301,960647
2,55,1021386,96575,99616,877893
2,56,1026152,96539,84017,893595
2,57,1313788,97111,118094,1148541
2,58,1183721,97574,85304,1052300
2,59,1207501,96838,102980,1059053
3,0,1113245,96613,98255,968267
3,1,1101808,95477,82635,972982
3,2,1161305,96064,99487,1016157
3,3,1159667,96407,84340,1029962
3,4,1104224,96182,83000,976959
3,5,1149023,96654,93743,1012116
3,6,1253793,96233,96558,1114659
3,7,1193146,96634,87790,1058252
3,8,1062389,96080,118570,886162
3,9,1196444,96039,91366,1044922
3,10,1166673,97043,104336,1007478
3,11,1207650,95804,81592,1064705
3,12,1110450,96446,82873,969150
3,13,1094579,96133,80834,955552
3,14,1087187,95573,80447,950575
3,15,1165237,95762,80662,1025435
3,16,1298190,96252,80335,1158177
3,17,1079751,95860,82241,937152
3,18,1144491,95496,96084,986210
3,19,1414342,95383,80968,1271202
3,20,1523660,96130,78902,1381496
3,21,1298347,95854,81661,1156202
3,22,1545006,96043,91253,1393985
3,23,1304378,94636,92831,1152980
3,24,1057418,94561,103746,895389
3,25,1160799,94220,92395,1010137
3,26,1131668,94934,90352,982802
3,27,1039535,95010,108237,877194
3,28,1006991,94584,80007,872797
3,29,989837,94933,80250,856334
3,30,966656,93998,79224,835301
3,31,977510,92735,77535,848132
3,32,1002044,92293,76754,873917
3,33,1002039,93474,79015,874207
3,34,1076292,94097,77663,949303
3,35,1016530,93976,78396,890343
3,36,1006676,93862,75367,876596
3,37,911612,93745,93820,765069
3,38,1057506,92834,93776,915189
3,39,1019805,92047,74156,897050
3,40,1016180,92790,76212,887432
3,41,1008809,93526,76278,879948
3,42,1044382,94439,95473,898849
3,43,1148289,93834,76201,1021722
3,44,1009405,93919,75256,880817
3,45,1007526,92757,77105,866917
3,46,1090161,92740,74234,955042
3,47,1025721,93305,76690,895130
3,48,1036313,93375,112600,851613
3,49,1034364,94073,76327,869071
3,50,1055706,94554,96364,867957
3,51,1029649,93098,91046,867305
3,52,996274,93243,78670,862970
3,53,1015371,93300,94356,865923
3,54,1137908,94264,93933,986007
3,55,1055658,94040,98711,897655
3,56,1085617,94748,80253,945633
3,57,1105463,95050,97479,951486
3,58,1156764,94264,78964,1022940
3,59,1232214,94897,78391,1096749
4,0,1174059,94888,88065,1029902
4,1,1196779,94619,94097,1022627
4,2,1191991,92892,77546,1059640
4,3,1144732,92041,92933,998775
4,4,1187038,92447,78368,1056515
4,5,1354148,95188,94931,1206304
4,6,1236214,95740,81739,1096871
4,7,1136579,95072,80071,999623
4,8,1105075,94656,79966,970933
4,9,1137414,95452,78683,1002699
4,10,1202560,96635,113036,1030877
4,11,1167184,95307,89396,1023279
4,12,1263834,96299,107309,1101343
4,13,1206547,97898,89624,1060946
4,14,1222615,99415,105751,1059135
4,15,1179631,98333,86112,1036743
4,16,1135055,98178,79175,998080
4,17,1146227,99347,93289,994740
4,18,1150597,99147,92389,1003540
4,19,1257014,99852,96389,1104715
4,20,1266616,99390,79635,1131226
4,21,1285127,99883,83615,1144071
4,22,1367500,99224,82504,1230576
4,23,1137652,98403,80000,1003958
4,24,1074504,97823,80000,942347
4,25,1164228,99086,93732,1018881
4,26,1113840,99827,82907,978194
4,27,1118124,99589,82126,983857
4,28,1151855,98077,95863,1003051
4,29,1337572,98520,81530,1205378
4,30,2650461,98872,80075,2516846
4,31,2701519,99625,99131,2548269
4,32,2598891,99741,95665,2445712
4,33,2707998,100916,82089,2565580
4,34,2782236,101281,97609,2630611
4,35,2829681,102948,97365,2677474
4,36,2757578,102408,100500,2592065
4,37,2896019,102684,114170,2718016
4,38,2736470,102012,128929,2549150
4,39,2665658,101699,96610,2515956
4,40,1715244,101181,98554,1562133
4,41,1335843,101165,99898,1180100
4,42,1313707,100497,98566,1163552
4,43,1560425,101541,82361,1405135
4,44,1300662,102043,82289,1144866
4,45,1222621,101772,83178,1070258
4,46,1237548,101225,81825,1083448
4,47,1296050,101753,120201,1108992
4,48,1454716,100488,97763,1289095
4,49,1581283,100969,101951,1425615
4,50,1483503,100744,100132,1328938
4,51,1315850,100414,117801,1116422
4,52,1315916,99694,100366,1146485
4,53,1366245,100037,79239,1219256
4,54,1223226,99139,80448,1076860
4,55,1335787,98671,113563,1152980
4,56,1251063,98266,94875,1098854
4,57,1316763,98412,78317,1182126
4,58,1310293,97225,86729,1170010
4,59,1061017,97911,108311,899602
5,0,1070372,97093,88298,928946
5,1,1177245,96311,87357,1037205
5,2,1245597,97088,87950,1106633
5,3,1251626,98321,87820,1112892
5,4,1301282,98082,79435,1170868
5,5,1246105,98509,79276,1115601
5,6,1255979,98757,78036,1129044
5,7,1237649,98419,78701,1109153
5,8,1218468,98583,78248,1090645
5,9,1299760,98625,79571,1171586
5,10,1149622,98561,78496,1022795
5,11,1188477,97741,78620,1062099
5,12,1308795,97817,77837,1184195
5,13,1322454,98800,77874,1198596
5,14,1220167,97825,79700,1094135
5,15,1103339,98306,77353,980482
5,16,1318487,98805,79689,1192383
5,17,1322602,98752,80735,1195681
5,18,1108658,98044,76682,986692
5,19,1098119,98504,77271,975289
5,20,1075818,98779,78543,950755
5,21,1056150,98435,77499,907180
5,22,1042201,98669,78480,900311
5,23,1086516,98212,76959,963772
5,24,1149659,98176,77394,1026362
5,25,1185525,98168,78189,1063062
5,26,1283614,98208,78414,1160335
5,27,1257748,98308,77234,1136217
5,28,1193546,98929,78444,1060072
5,29,1120230,98271,76378,990328
5,30,1113845,99184,77378,985742
5,31,1008847,98637,76203,881449
5,32,997701,98161,75783,869273
5,33,1055301,98383,77564,926935
5,34,981750,98599,78832,852263
5,35,996007,98215,76969,865670
5,36,1059367,98943,77771,926596
5,37,1029386,99380,79078,897648
5,38,977737,100410,80283,844262
5,39,984107,101376,81404,847665
5,40,1016434,101059,80919,880244
5,41,944317,100974,81123,811249
5,42,938650,100877,79360,810377
5,43,955746,100722,78824,827301
5,44,955465,100171,79456,827263
5,45,964827,99749,78577,839000
5,46,983184,99511,89161,845856
5,47,1067450,99890,91512,927492
5,48,1004729,99282,89788,866966
5,49,980881,99791,89806,843173
5,50,1049512,100535,91145,910111
5,51,972775,101226,90807,835027
5,52,1037599,101239,80234,910869
5,53,981589,101048,80593,854474
5,54,962414,100259,80410,833111
5,55,1015990,100057,77027,887667
5,56,1127232,100850,78843,998666
5,57,1126061,101094,80694,996911
5,58,959647,101524,79506,833124
5,59,917877,101272,82147,787347
6,0,990253,102232,80986,859674
6,1,958537,102041,83051,826507
6,2,910988,103863,81951,775807
6,3,1062249,104803,84063,922202
6,4,1346490,104811,84943,1197038
6,5,1121003,105759,84881,952980
6,6,1188421,105078,82329,1053410
6,7,1023721,104942,83214,889128
6,8,927784,104561,84699,786931
6,9,978311,105132,85215,837055
6,10,948148,106161,86018,800463
6,11,951869,106410,86695,796414
6,12,952897,107031,87597,799188
6,13,935696,106662,87104,783223
6,14,945868,106211,85457,795237
6,15,1013079,106179,87775,860441
6,16,948827,106140,85725,795076
6,17,1119827,106715,88371,966007
6,18,1740917,107768,87546,1589678
6,19,1691406,108730,87610,1541940
6,20,1685773,108151,87236,1536628
6,21,1682047,108035,88867,1532384
6,22,1783919,108265,86714,1633423
6,23,1759316,108880,88372,1583332
6,24,1733650,109853,89157,1592211
6,25,2682672,110156,89899,2539941
6,26,2811830,110971,90743,2667145
6,27,2769540,110780,90830,2624936
6,28,2728756,109982,89361,2587176
6,29,2861386,109083,88616,2721240
6,30,2677993,109524,87785,2532107
6,31,2831655,109959,90662,2679821
6,32,2749505,109201,88785,2609911
6,33,2929316,109877,92206,2775704
6,34,3666343,111394,103872,3509284
6,35,3752647,111475,104437,3598833
6,36,3679665,111222,101856,3522979
6,37,3693987,111866,102693,3525664
6,38,3681546,110222,103667,3514619
6,39,3728852,111770,95931,3566772
6,40,3779525,111066,92309,3623232
6,41,3106522,111696,90610,2894509
6,42,1712822,111610,89518,1554483
6,43,1191235,110722,91600,973247
6,44,1121961,110227,90864,949724
6,45,1083471,109366,90052,930607
6,46,1110459,108766,88994,958500
6,47,1152062,109877,89353,976872
6,48,1115849,110402,90033,962011
6,49,1138056,113011,93834,944166
6,50,1195888,112405,91881,1049442
6,51,1498458,112050,93234,1300052
6,52,1392763,112157,92052,1249560
6,53,1176368,112627,92007,1014639
6,54,1213489,112551,90592,1065530
6,55,1227750,112545,91804,1065775
6,56,1478822,112786,91769,1328161
6,57,1435978,112011,91898,1248440
6,58,1382850,112153,91888,1232568
6,59,1407402,111474,90388,1255993
7,0,1357721,110810,87177,1207850
7,1,1440606,111507,89940,1279744
7,2,1559009,112291,90704,1398955
7,3,1492797,111735,92330,1327727
7,4,1426656,113005,91305,1257959
7,5,1403540,112743,91952,1218113
7,6,1493000,111719,90515,1315668
7,7,1487335,112682,92333,1306870
7,8,1624530,113412,90662,1446390
7,9,1511570,113043,93273,1330366
7,10,1470920,112409,91938,1293573
7,11,1551252,112434,90325,1366761
7,12,1657693,111324,90338,1478629
7,13,1629372,111984,96037,1454771
7,14,1625263,111634,94739,1452558
7,15,1674968,111754,93625,1505493
7,16,1680922,112043,95539,1507729
7,17,1607853,112706,98091,1434370
7,18,1748800,113349,97213,1581875
7,19,1665065,113108,91022,1506918
7,20,1467235,112885,89647,1310806
7,21,1503853,113204,92360,1346039
7,22,1401132,113181,101460,1237704
7,23,1466804,113236,102630,1299262
7,24,1471544,113787,100856,1308394
7,25,1517161,113801,102437,1351959
7,26,1459227,113110,98224,1299033
7,27,1593069,113346,96867,1431935
7,28,1609578,112636,90005,1454506
7,29,1413189,112324,90348,1260092
7,30,1544164,112760,88273,1391345
7,31,1488744,111976,87337,1332074
7,32,1482206,112824,92616,1321266
7,33,1402651,112489,88547,1251398
7,34,1395826,111595,87623,1244893
7,35,1477093,111882,88206,1325038
7,36,1409532,112020,88755,1256638
7,37,1542799,111711,87249,1392453
7,38,2782550,111480,88352,2623655
7,39,4450440,110191,85976,4294738
7,40,4436870,109456,85750,4284221
7,41,4325867,110627,88368,4170788
7,42,4334864,111971,94157,4177221
7,43,4345182,111812,88499,4185672
7,44,2307546,111087,94125,2140737
7,45,1377745,111446,91812,1212339
7,46,1434060,110891,86254,1270384
7,47,1362247,110956,95397,1194066
7,48,1440889,110336,99180,1268487
7,49,1352817,110487,84210,1204747
7,50,1378183,110144,87831,1224937
7,51,1405071,110282,86590,1253782
7,52,1387308,110114,87291,1235024
7,53,1348982,110132,86829,1198296
7,54,1406131,109449,85134,1256938
7,55,1344929,109473,84677,1197443
7,56,1476067,110150,87179,1323528
7,57,1384826,110100,86686,1233576
7,58,1448229,110029,86189,1299211
7,59,1486632,110392,86228,1321155
8,0,1448748,110047,86378,1297276
8,1,1458332,110649,85407,1303600
8,2,1452979,111044,87198,1302289
8,3,1530755,111196,87169,1382223
8,4,1420347,110642,87842,1264993
8,5,1392884,110406,86186,1246205
8,6,1446971,110253,86532,1300094
8,7,1397408,110323,85376,1253460
8,8,1343013,109591,85893,1197738
8,9,1404482,109876,85620,1256556
8,10,1386653,111226,99519,1222254
8,11,1484118,111625,95413,1325105
8,12,1530076,111092,98040,1367122
8,13,1512948,110902,95307,1352177
8,14,1425922,111298,96961,1264360
8,15,1456399,111524,95309,1294823
8,16,1465862,112536,91116,1311316
8,17,1351361,111058,86608,1199534
8,18,1434623,111561,86406,1283951
8,19,1393567,111050,84987,1244174
8,20,1373075,110752,85477,1224571
8,21,1374965,110941,86194,1225930
8,22,1459433,110636,83389,1310609
8,23,1485993,110997,83881,1335448
8,24,1347059,111661,84937,1196419
8,25,1370314,110942,85330,1222180
8,26,1389153,110904,84925,1240002
8,27,1442234,111409,85963,1294736
8,28,1559735,110471,83685,1414129
8,29,1553279,110892,85447,1404000
8,30,1528605,110096,84040,1381360
8,31,1457565,110719,83790,1311882
8,32,1478405,111688,85817,1332518
8,33,1617690,111056,85281,1472047
8,34,1444794,111921,86098,1302722
8,35,1377096,111912,86338,1235217
8,36,1469773,112544,87196,1325764
8,37,1462530,111832,87476,1317074
8,38,1445480,111666,85174,1306059
8,39,1565387,110089,84528,1427052
8,40,1535763,112053,87441,1396950
8,41,1461134,111309,84052,1329240
8,42,1546782,110764,86025,1412784
8,43,1553051,109825,84111,1411101
8,44,1519094,111282,84249,1375868
8,45,1475722,110918,87623,1329234
